instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
62,2011-03-03,1,0,3,0,4,1,1,33.1,32.80229797,34.6,8.6,123,1562,1685
63,2011-03-04,1,0,3,0,5,1,2,39.8,40.73211566,62,8.3,214,1730,1944
64,2011-03-05,1,0,3,0,6,0,2,49.3,50.00127541,83,10.9,640,1437,2077
65,2011-03-06,1,0,3,0,0,0,2,48.1,49.4487626,97.7,13.9,114,491,605
66,2011-03-07,1,0,3,0,1,1,1,38.7,42.47780266,58.9,15.4,244,1628,1872
67,2011-03-08,1,0,3,0,2,1,1,42.1,40.72172619,43.4,4.8,316,1817,2133
68,2011-03-09,1,0,3,0,3,1,2,42,43.35184642,80.3,9.2,191,1700,1891
69,2011-03-10,1,0,3,0,4,1,3,52,52.46152649,98.8,12.1,46,577,623
70,2011-03-11,1,0,3,0,5,1,2,44.3,45.97352328,69.2,8.6,247,1730,1977
71,2011-03-12,1,0,3,0,6,0,1,45.4,45.87622962,60.8,8.8,724,1408,2132
72,2011-03-13,1,0,3,0,0,0,1,50.5,51.06559745,52.5,11.4,982,1435,2417
73,2011-03-14,1,0,3,0,1,1,1,45,44.08061747,49.8,6.2,359,1687,2046
74,2011-03-15,1,0,3,0,2,1,2,44.1,43.99092049,68.6,7.7,289,1767,2056
75,2011-03-16,1,0,3,0,3,1,2,47.2,46.97964843,83.3,8.3,321,1871,2192
76,2011-03-17,1,0,3,0,4,1,1,53,53.60280553,60.4,8.6,424,2320,2744
77,2011-03-18,1,0,3,0,5,1,1,63.8,65.37269762,52.8,9.5,884,2355,3239
78,2011-03-19,1,0,3,0,6,0,1,58,58.74283265,38.7,15.7,1424,1693,3117
79,2011-03-20,1,0,3,0,0,0,1,45.7,46.64696853,47.5,9,1047,1424,2471
80,2011-03-21,2,0,3,0,1,1,2,53,55.67758429,75.1,11.8,401,1676,2077
81,2011-03-22,2,0,3,0,2,1,1,55.4,55.52886879,63,9.4,460,2243,2703
82,2011-03-23,2,0,3,0,3,1,2,47,48.2542086,85.7,10.9,203,1918,2121
83,2011-03-24,2,0,3,0,4,1,2,41.1,43.24989938,85.5,10.7,166,1699,1865
84,2011-03-25,2,0,3,0,5,1,1,39.5,40.71052662,50.4,10,300,1910,2210
85,2011-03-26,2,0,3,0,6,0,1,39.2,40.45740242,40.5,8.5,981,1515,2496
86,2011-03-27,2,0,3,0,0,0,2,38,38.41045143,52.8,7.7,472,1221,1693
87,2011-03-28,2,0,3,0,1,1,1,39,40.02567029,31.4,9.2,222,1806,2028
88,2011-03-29,2,0,3,0,2,1,1,43.1,44.51141655,32.1,9.5,317,2108,2425
89,2011-03-30,2,0,3,0,3,1,2,41.2,41.56717673,75.6,8,168,1368,1536
90,2011-03-31,2,0,3,0,4,1,3,39.6,41.25395244,92.6,9.1,179,1506,1685
91,2011-04-01,2,0,4,0,5,1,2,42.2,44.66333162,75.6,10.5,307,1920,2227
92,2011-04-02,2,0,4,0,6,0,2,44.4,44.31039454,67.8,10.8,898,1354,2252
93,2011-04-03,2,0,4,0,0,0,1,50.4,50.34225051,47.9,7.4,1651,1598,3249
94,2011-04-04,2,0,4,0,1,1,1,67.2,70.96319703,43.1,16.1,734,2381,3115
95,2011-04-05,2,0,4,0,2,1,2,54,56.14413958,71.8,16.4,167,1628,1795
96,2011-04-06,2,0,4,0,3,1,1,51.1,51.52516537,47.2,11.1,413,2395,2808
97,2011-04-07,2,0,4,0,4,1,1,55.1,55.58328876,60.2,7,571,2570,3141
98,2011-04-08,2,0,4,0,5,1,2,45.6,47.19561143,86.5,10.5,172,1299,1471
99,2011-04-09,2,0,4,0,6,0,2,46.3,46.43163538,88.7,6.4,879,1576,2455
100,2011-04-10,2,0,4,0,0,0,2,53.7,53.6911913,86,6,1188,1707,2895
101,2011-04-11,2,0,4,0,1,1,2,67.4,71.0292592,75.7,13.1,855,2493,3348
102,2011-04-12,2,0,4,0,2,1,2,60,61.1494887,76.3,12.9,257,1777,2034
103,2011-04-13,2,0,4,0,3,1,2,51.7,51.10740193,87.5,9.8,209,1953,2162
104,2011-04-14,2,0,4,0,4,1,1,57.7,58.29328222,54.4,5,529,2738,3267
105,2011-04-15,2,0,4,1,5,0,1,55.5,56.09705643,68.7,10.3,642,2484,3126
106,2011-04-16,2,0,4,0,6,0,3,57.4,58.12051507,88.7,18.1,121,674,795
107,2011-04-17,2,0,4,0,0,0,1,57.1,58.50554122,47.9,12.6,1558,2186,3744
108,2011-04-18,2,0,4,0,1,1,1,61.8,62.94892536,55.2,6.8,669,2760,3429
109,2011-04-19,2,0,4,0,2,1,2,61.4,63.48009884,66.4,6.3,409,2795,3204
110,2011-04-20,2,0,4,0,3,1,1,70.5,74.32334264,59.7,11.2,613,3331,3944
111,2011-04-21,2,0,4,0,4,1,1,56.9,57.56127515,41.4,13.6,745,3444,4189
112,2011-04-22,2,0,4,0,5,1,2,45.9,47.99758754,75.6,9,177,1506,1683
113,2011-04-23,2,0,4,0,6,0,2,53,54.16321389,91.5,8,1462,2574,4036
114,2011-04-24,2,0,4,0,0,0,2,67.2,70.84205066,85,6.9,1710,2481,4191
115,2011-04-25,2,0,4,0,1,1,1,67.1,70.85701601,86.2,6,773,3300,4073
116,2011-04-26,2,0,4,0,2,1,1,72.1,76.66132628,74,13.8,678,3722,4400
117,2011-04-27,2,0,4,0,3,1,2,71,76.53762027,85.8,12.7,547,3325,3872
118,2011-04-28,2,0,4,0,4,1,2,71.8,76.58365706,71.5,13.7,569,3489,4058
119,2011-04-29,2,0,4,0,5,1,1,61.7,63.25495564,46,10.1,878,3717,4595
120,2011-04-30,2,0,4,0,6,0,1,58.6,59.67079076,50.1,10.1,1965,3347,5312
121,2011-05-01,2,0,5,0,0,0,2,56.6,57.03731381,76.2,4.5,1138,2213,3351
122,2011-05-02,2,0,5,0,1,1,2,64.4,66.37418253,73.4,7.8,847,3554,4401
123,2011-05-03,2,0,5,0,2,1,2,71.3,75.53675206,68.5,14.5,603,3848,4451
124,2011-05-04,2,0,5,0,3,1,2,52.5,53.73475226,75.9,14,255,2378,2633
125,2011-05-05,2,0,5,0,4,1,1,56.7,58.91325498,45,12.1,614,3819,4433
126,2011-05-06,2,0,5,0,5,1,1,59.9,60.53801762,57.1,10.1,894,3714,4608
127,2011-05-07,2,0,5,0,6,0,1,62.5,63.39966564,54.1,6.9,1612,3102,4714
128,2011-05-08,2,0,5,0,0,0,1,63.5,64.65024483,63.1,3.6,1401,2932,4333
129,2011-05-09,2,0,5,0,1,1,1,63.8,64.68112085,58.7,7.1,664,3698,4362
130,2011-05-10,2,0,5,0,2,1,1,63.8,64.99356253,49,5.4,694,4109,4803
131,2011-05-11,2,0,5,0,3,1,1,64.1,65.81046556,64.7,5,550,3632,4182
132,2011-05-12,2,0,5,0,4,1,1,63.5,64.91192537,75.4,7.8,695,4169,4864
133,2011-05-13,2,0,5,0,5,1,2,62.1,64.38650617,86.5,7.8,692,3413,4105
134,2011-05-14,2,0,5,0,6,0,2,62.5,65.02232691,93.7,5.1,902,2507,3409
135,2011-05-15,2,0,5,0,0,0,2,66.3,69.57789179,87.8,6.6,1582,2971,4553
136,2011-05-16,2,0,5,0,1,1,1,68.2,71.5433996,78,6.6,773,3185,3958
137,2011-05-17,2,0,5,0,2,1,2,66.1,68.93999896,84.6,12.3,678,3445,4123
138,2011-05-18,2,0,5,0,3,1,2,65,67.81648007,87.8,8.6,536,3319,3855
139,2011-05-19,2,0,5,0,4,1,2,63.4,65.89395859,81.8,5.1,735,3840,4575
140,2011-05-20,2,0,5,0,5,1,1,64.6,65.53106974,70.3,5.8,909,4008,4917
141,2011-05-21,2,0,5,0,6,0,1,70,73.7357402,63,5.6,2258,3547,5805
142,2011-05-22,2,0,5,0,0,0,1,70.1,73.71994204,74.2,6.3,1576,3084,4660
143,2011-05-23,2,0,5,0,1,1,2,71.2,76.19006465,84.2,8.5,836,3438,4274
144,2011-05-24,2,0,5,0,2,1,2,75.4,82.27997745,73.6,8.6,659,3833,4492
145,2011-05-25,2,0,5,0,3,1,1,75.1,80.62578719,69.9,6.4,740,4238,4978
146,2011-05-26,2,0,5,0,4,1,1,79.5,86.01421364,68.2,8.3,758,3919,4677
147,2011-05-27,2,0,5,0,5,1,1,76.9,82.29126212,66.7,11.3,871,3808,4679
148,2011-05-28,2,0,5,0,6,0,1,74.8,80.10775745,72.5,9.3,2001,2757,4758
149,2011-05-29,2,0,5,0,0,0,1,75.5,81.87190318,82.6,9.2,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0,1,83.2,90.91645497,67.4,5.6,1549,2549,4098
151,2011-05-31,2,0,5,0,2,1,1,85.8,91.66881496,62.6,4.4,673,3309,3982
152,2011-06-01,2,0,6,0,3,1,2,85.3,90.41113546,65.2,9,513,3461,3974
153,2011-06-02,2,0,6,0,4,1,1,80.2,89.04994549,30.3,12.5,736,4232,4968
154,2011-06-03,2,0,6,0,5,1,1,71.3,75.29128835,35.4,10.8,898,4414,5312
155,2011-06-04,2,0,6,0,6,0,1,73.5,78.48127447,44.4,5.1,1869,3473,5342
156,2011-06-05,2,0,6,0,0,0,2,74,77.7826376,65.7,6.1,1685,3221,4906
157,2011-06-06,2,0,6,0,1,1,1,77,83.99287458,59.7,5.4,673,3875,4548
158,2011-06-07,2,0,6,0,2,1,1,79.4,85.63991158,59.5,7.9,763,4070,4833
159,2011-06-08,2,0,6,0,3,1,1,85.4,91.10140428,61.9,5.8,676,3725,4401
160,2011-06-09,2,0,6,0,4,1,2,88.3,94.2156579,56.2,6.7,563,3352,3915
161,2011-06-10,2,0,6,0,5,1,1,82.5,88.56563135,60.8,7.5,815,3771,4586
162,2011-06-11,2,0,6,0,6,0,1,82.2,87.89330392,62.8,7.2,1729,3237,4966
163,2011-06-12,2,0,6,0,0,0,1,79.5,85.57688571,71.4,8.2,1467,2993,4460
164,2011-06-13,2,0,6,0,1,1,1,73,77.04594335,49,12.9,863,4157,5020
165,2011-06-14,2,0,6,0,2,1,1,70.3,71.79989401,50.5,11.2,727,4164,4891
166,2011-06-15,2,0,6,0,3,1,1,72.3,77.08671332,47,8,769,4411,5180
167,2011-06-16,2,0,6,0,4,1,2,72.1,76.09492514,72.3,9.3,545,3222,3767
168,2011-06-17,2,0,6,0,5,1,1,74.5,80.55348253,72.7,8,863,3981,4844
169,2011-06-18,2,0,6,0,6,0,1,77.7,84.06039236,69.5,5.2,1807,3312,5119
170,2011-06-19,2,0,6,0,0,0,2,78.9,85.41397841,66.3,4.4,1639,3105,4744
171,2011-06-20,2,0,6,0,1,1,2,72.5,77.3289818,74.8,6.2,699,3311,4010
172,2011-06-21,3,0,6,0,2,1,2,77.1,82.32189067,77.4,7.3,774,4061,4835
173,2011-06-22,3,0,6,0,3,1,1,81.8,86.45738273,70.2,7.2,661,3846,4507
174,2011-06-23,3,0,6,0,4,1,2,81.2,85.237571,70.2,9.8,746,4044,4790
175,2011-06-24,3,0,6,0,5,1,1,80.5,88.7860994,58.3,9,969,4022,4991
176,2011-06-25,3,0,6,0,6,0,1,78.8,85.13118808,48,9,1782,3420,5202
177,2011-06-26,3,0,6,0,0,0,1,77,82.11671677,51.3,4.6,1920,3385,5305
178,2011-06-27,3,0,6,0,1,1,2,77.1,82.60662413,66.3,4.8,854,3854,4708
179,2011-06-28,3,0,6,0,2,1,1,83.5,89.7223691,62,7.7,732,3916,4648
180,2011-06-29,3,0,6,0,3,1,1,81.3,90.44533106,49.2,11,848,4377,5225
181,2011-06-30,3,0,6,0,4,1,1,78.6,85.96128494,43,8.1,1027,4488,5515
182,2011-07-01,3,0,7,0,5,1,1,80.8,89.51456847,39.7,5.1,1246,4116,5362
183,2011-07-02,3,0,7,0,6,0,1,82.3,91.05960951,44.2,4.9,2204,2915,5119
184,2011-07-03,3,0,7,0,0,0,2,78.2,83.82508978,73.6,8.4,2282,2367,4649
185,2011-07-04,3,0,7,1,1,0,2,81.3,88.78346526,63.4,3.5,3065,2978,6043
186,2011-07-05,3,0,7,0,2,1,1,82.9,88.89173692,59.3,5.6,1031,3634,4665
187,2011-07-06,3,0,7,0,3,1,1,80.4,84.43000847,74.4,6.4,784,3845,4629
188,2011-07-07,3,0,7,0,4,1,1,81.3,88.77212752,70,7.2,754,3838,4592
189,2011-07-08,3,0,7,0,5,1,2,79.3,83.87527066,76.7,9.1,692,3348,4040
190,2011-07-09,3,0,7,0,6,0,1,82,90.54066352,59.6,7.4,1988,3348,5336
191,2011-07-10,3,0,7,0,0,0,1,83.1,90.02173834,57.6,7.5,1743,3138,4881
192,2011-07-11,3,0,7,0,1,1,1,84.6,88.39017051,62.4,11.7,723,3363,4086
193,2011-07-12,3,0,7,0,2,1,1,87.2,93.67469805,55.5,8.8,662,3596,4258
194,2011-07-13,3,0,7,0,3,1,1,81.8,88.59443896,67.1,7.2,748,3594,4342
195,2011-07-14,3,0,7,0,4,1,1,77.1,82.65138355,47.5,10,888,4196,5084
196,2011-07-15,3,0,7,0,5,1,1,75.3,79.9988707,59,7.6,1318,4220,5538
197,2011-07-16,3,0,7,0,6,0,1,77.7,83.59254085,58.3,8.7,2418,3505,5923
198,2011-07-17,3,0,7,0,0,0,1,80.5,86.42892109,60.1,10.2,2006,3296,5302
199,2011-07-18,3,0,7,0,1,1,1,83,88.03972156,64.4,9,841,3617,4458
200,2011-07-19,3,0,7,0,2,1,1,86.1,89.46208348,63.7,5.8,752,3789,4541
201,2011-07-20,3,0,7,0,3,1,1,84,86.41624423,72.2,4.9,644,3688,4332
202,2011-07-21,3,0,7,0,4,1,2,89.3,88.07121741,68.8,9.4,632,3152,3784
203,2011-07-22,3,0,7,0,5,1,1,92.5,93.31808274,56.6,5.9,562,2825,3387
204,2011-07-23,3,0,7,0,6,0,1,92.3,97.45043013,49.1,6.6,987,2298,3285
205,2011-07-24,3,0,7,0,0,0,1,90.3,94.29575418,54.6,7,1050,2556,3606
206,2011-07-25,3,0,7,0,1,1,1,82.8,85.36970586,74.9,5.6,568,3272,3840
207,2011-07-26,3,0,7,0,2,1,1,85.3,94.440715,53.8,8.7,750,3840,4590
208,2011-07-27,3,0,7,0,3,1,1,85.6,96.05207719,40,7.9,755,3901,4656
209,2011-07-28,3,0,7,0,4,1,1,85.7,90.24815772,57.6,7.3,606,3784,4390
210,2011-07-29,3,0,7,0,5,1,1,91.8,97.9162858,53.1,7.8,670,3176,3846
211,2011-07-30,3,0,7,0,6,0,1,88.7,97.90801689,46,7.4,1559,2916,4475
212,2011-07-31,3,0,7,0,0,0,1,88.7,97.94159889,46.7,6.8,1524,2778,4302
213,2011-08-01,3,0,8,0,1,1,1,85.7,94.03186998,53.5,7.2,729,3537,4266
214,2011-08-02,3,0,8,0,2,1,1,86.4,95.71877676,48.3,8.7,801,4044,4845
215,2011-08-03,3,0,8,0,3,1,2,81.2,87.37774294,67.1,6.5,467,3107,3574
216,2011-08-04,3,0,8,0,4,1,2,79.2,84.58636437,77.7,8.9,799,3777,4576
217,2011-08-05,3,0,8,0,5,1,1,79.8,86.39555963,62.7,7.4,1023,3843,4866
218,2011-08-06,3,0,8,0,6,0,2,80.5,85.32330431,75.2,10.2,1521,2773,4294
219,2011-08-07,3,0,8,0,0,0,1,81.7,84.80767295,77.8,8.7,1298,2487,3785
220,2011-08-08,3,0,8,0,1,1,1,84.5,91.9153456,59,8.2,846,3480,4326
221,2011-08-09,3,0,8,0,2,1,1,85.5,91.50749668,57.2,5.9,907,3695,4602
222,2011-08-10,3,0,8,0,3,1,1,84.7,94.80044746,42.2,8.6,884,3896,4780
223,2011-08-11,3,0,8,0,4,1,1,80.4,88.54204239,42.3,7,812,3980,4792
224,2011-08-12,3,0,8,0,5,1,1,79.5,86.09917024,41.4,5.8,1051,3854,4905
225,2011-08-13,3,0,8,0,6,0,2,77.3,82.08443791,75.7,11.2,1504,2646,4150
226,2011-08-14,3,0,8,0,0,0,2,74.8,81.06288334,85.4,9.5,1338,2482,3820
227,2011-08-15,3,0,8,0,1,1,1,75.5,81.58566022,72.2,8.1,775,3563,4338
228,2011-08-16,3,0,8,0,2,1,1,79,85.72721445,57.3,9.9,721,4004,4725
229,2011-08-17,3,0,8,0,3,1,1,80.8,87.66738976,57.8,5.8,668,4026,4694
230,2011-08-18,3,0,8,0,4,1,1,81.6,87.68792102,62,10.8,639,3166,3805
231,2011-08-19,3,0,8,0,5,1,2,76.2,82.43093643,73.1,7.9,797,3356,4153
232,2011-08-20,3,0,8,0,6,0,1,78.4,84.2593791,67.8,4.4,1914,3277,5191
233,2011-08-21,3,0,8,0,0,0,1,80.4,84.60230665,75.8,10.9,1249,2624,3873
234,2011-08-22,3,0,8,0,1,1,1,78,84.52751726,47.3,11.7,833,3925,4758
235,2011-08-23,3,0,8,0,2,1,1,73.6,77.8219385,45.5,6.4,1281,4614,5895
236,2011-08-24,3,0,8,0,3,1,1,76.6,81.77891554,60.8,10.6,949,4181,5130
237,2011-08-25,3,0,8,0,4,1,2,77.8,82.41520932,78.7,8.2,435,3107,3542
238,2011-08-26,3,0,8,0,5,1,1,79.5,84.35230616,75.8,4.4,768,3893,4661
239,2011-08-27,3,0,8,0,6,0,2,75.8,81.10064259,85.7,20.8,226,889,1115
240,2011-08-28,3,0,8,0,0,0,1,77,84.02312955,65.4,19,1415,2919,4334
241,2011-08-29,3,0,8,0,1,1,1,72.9,76.34248468,55.5,6.8,729,3905,4634
242,2011-08-30,3,0,8,0,2,1,1,73.3,78.78026901,54.6,5.3,775,4429,5204
243,2011-08-31,3,0,8,0,3,1,1,74.5,80.05238161,59.3,3.4,688,4370,5058
244,2011-09-01,3,0,9,0,4,1,1,74.6,79.46223986,63.3,6.2,783,4332,5115
245,2011-09-02,3,0,9,0,5,1,2,73.1,77.75631655,73.8,6.3,875,3852,4727
246,2011-09-03,3,0,9,0,6,0,1,75.8,80.10394385,71,7.7,1935,2549,4484
247,2011-09-04,3,0,9,0,0,0,1,79.7,84.93860337,73.5,8.7,2521,2419,4940
248,2011-09-05,3,0,9,1,1,0,2,76.3,82.11561794,81.1,8.9,1236,2115,3351
249,2011-09-06,3,0,9,0,2,1,3,64.4,67.5,89.1,14,204,2506,2710
250,2011-09-07,3,0,9,0,3,1,3,69.8,76.84606406,92.5,4.7,118,1878,1996
251,2011-09-08,3,0,9,0,4,1,3,72.7,82.9829158,93.6,8.1,153,1689,1842
252,2011-09-09,3,0,9,0,5,1,2,73.4,82.4083766,92.3,5.2,417,3127,3544
253,2011-09-10,3,0,9,0,6,0,1,74.7,81.09388416,78.3,6.4,1750,3595,5345
254,2011-09-11,3,0,9,0,0,0,1,74.7,80.10776752,71.1,5.1,1633,3413,5046
255,2011-09-12,3,0,9,0,1,1,1,73.4,78.54639895,70.5,3.5,690,4023,4713
256,2011-09-13,3,0,9,0,2,1,1,74.4,80.22807437,71.4,6,701,4062,4763
257,2011-09-14,3,0,9,0,3,1,1,76.6,82.27358079,69.4,7,647,4138,4785
258,2011-09-15,3,0,9,0,4,1,2,67.3,70.19647047,72.3,12.9,428,3231,3659
259,2011-09-16,3,0,9,0,5,1,2,57.9,58.8650941,58.8,6.8,742,4018,4760
260,2011-09-17,3,0,9,0,6,0,2,60.2,61.85498671,71.8,7.9,1434,3077,4511
261,2011-09-18,3,0,9,0,0,0,1,61.7,63.833615,68.8,7.3,1353,2921,4274
262,2011-09-19,3,0,9,0,1,1,2,65.2,67.59935508,69.9,6.5,691,3848,4539
263,2011-09-20,3,0,9,0,2,1,2,66,69.65208176,87.7,6.5,438,3203,3641
264,2011-09-21,3,0,9,0,3,1,2,69.6,75.22164884,89.1,3.6,539,3813,4352
265,2011-09-22,3,0,9,0,4,1,2,71.5,80.95280136,92.5,5.4,555,4240,4795
266,2011-09-23,4,0,9,0,5,1,2,71.1,82.95288236,96.7,3.6,258,2137,2395
267,2011-09-24,4,0,9,0,6,0,2,70.3,75.56304632,87.1,3.3,1776,3647,5423
268,2011-09-25,4,0,9,0,0,0,2,72.4,80.17939951,86,2.7,1544,3466,5010
269,2011-09-26,4,0,9,0,1,1,2,73.5,81.00233005,85.9,4,684,3946,4630
270,2011-09-27,4,0,9,0,2,1,2,73.5,81.44993603,88.3,4.9,477,3643,4120
271,2011-09-28,4,0,9,0,3,1,2,71.8,79.27039179,87.5,5.2,480,3427,3907
272,2011-09-29,4,0,9,0,4,1,1,71.2,76.42432256,72.9,7,653,4186,4839
273,2011-09-30,4,0,9,0,5,1,1,66.7,69.06743015,65.5,8,830,4372,5202
274,2011-10-01,4,0,10,0,6,0,2,51.7,51.34148616,78.6,11.9,480,1949,2429
275,2011-10-02,4,0,10,0,0,0,2,48.1,49.68096763,80.1,9,616,2302,2918
276,2011-10-03,4,0,10,0,1,1,2,50.8,49.77906572,76.4,3.9,330,3240,3570
277,2011-10-04,4,0,10,0,2,1,1,58.3,59.69431859,73.6,7.8,486,3970,4456
278,2011-10-05,4,0,10,0,3,1,1,64,65.35918868,65.1,8.1,559,4267,4826
279,2011-10-06,4,0,10,0,4,1,1,60.3,62.02481157,61.6,5.8,639,4126,4765
280,2011-10-07,4,0,10,0,5,1,1,61.5,62.28386274,68.5,1,949,4036,4985
281,2011-10-08,4,0,10,0,6,0,1,62.9,63.93251975,69.3,2,2235,3174,5409
282,2011-10-09,4,0,10,0,0,0,1,64.7,66.78059231,71.6,2.6,2397,3114,5511
283,2011-10-10,4,0,10,1,1,0,1,67.4,70.86456546,72.9,1.7,1514,3603,5117
284,2011-10-11,4,0,10,0,2,1,2,67.3,69.83513723,80,6.1,667,3896,4563
285,2011-10-12,4,0,10,0,3,1,3,64.6,67.7963285,90.2,10.3,217,2199,2416
286,2011-10-13,4,0,10,0,4,1,2,68.5,73.13817859,90.4,6.3,290,2623,2913
287,2011-10-14,4,0,10,0,5,1,2,65.8,68.42839741,78.4,9.3,529,3115,3644
